Columbia Small Cap Value Fund II Institutional 3 Class (CRRYX),CRRYX,MF,Small Value,4.0,3.0,4.0,3.0,64.34,9.49,9.74,NA,NA,NA,NA,40.4,4.79,-2.69,23.92,11.19,-17.29,20.83,10.33,22.71,0.83,0.89,28.16,23.08,19.78,0.48,0.61,0.6,2.38,95.2,2.42,NA,NA,NA
PIMCO RAE US Small Fund Institutional Class (PMJIX),PMJIX,MF,Small Value,4.0,4.0,N/A,4.0,74.86,12.02,11.79,NA,29.18,-5.26,19.05,43.75,4.12,-6.92,27.14,9.27,-11.66,20.22,6.88,32.7,0.54,0.54,28.75,23.53,NA,0.6,0.73,NA,0.16,99.8,0.04,NA,NA,NA
DFA U.S. Targeted Value Portfolio Institutional Class (DFFVX),DFFVX,MF,Small Value,3.0,3.0,3.0,3.0,69.57,8.95,9.88,11.19,29.01,-6.29,19.19,43.03,2.94,-5.72,26.86,9.59,-15.78,21.47,3.77,27.98,0.33,0.33,29.93,24.48,20.92,0.43,0.58,0.58,1.23,96.28,2.43,NA,NA,0.06
Hartford Small Cap Value Fund Class F (HSMFX),HSMFX,MF,Small Value,4.0,4.0,4.0,4.0,70.42,10.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10.1,21.23,4.51,28.08,0.8,0.91,28.58,23.26,19.54,0.5,0.64,0.6,0.43,92.21,7.36,NA,NA,NA
MFS New Discovery Value Fund Class R6 (NDVVX),NDVVX,MF,Small Value,5.0,5.0,5.0,5.0,60.52,13.83,13.48,NA,NA,NA,NA,39.72,3.31,-2.85,26.63,15.0,-10.98,33.76,3.74,25.06,0.87,0.87,26.43,21.34,18.58,0.6,0.75,0.75,0.85,94.16,5.0,NA,NA,NA
Undiscovered Managers Behavioral Value Fund Class R6 (UBVFX),UBVFX,MF,Small Value,2.0,3.0,4.0,3.0,75.52,8.87,10.57,NA,NA,NA,NA,NA,5.83,3.52,20.97,13.53,-15.2,23.34,3.62,25.0,0.8,0.86,31.78,25.23,21.48,0.43,0.56,0.64,0.36,99.42,0.23,NA,NA,NA
Franklin Small Cap Value Fund Class R6 (FRCSX),FRCSX,MF,Small Value,4.0,4.0,4.0,4.0,47.45,10.59,11.11,NA,NA,NA,NA,NA,0.54,-7.33,30.19,11.12,-12.3,26.59,5.83,18.93,0.65,0.69,25.16,20.44,18.76,0.51,0.64,0.63,1.95,85.49,12.56,NA,NA,NA
Goldman Sachs Small Cap Value Insights Fund Class R6 (GTTUX),GTTUX,MF,Small Value,3.0,4.0,4.0,4.0,55.32,7.97,NA,NA,NA,NA,NA,NA,NA,NA,31.6,7.51,-10.67,23.54,0.35,23.88,0.83,0.92,26.28,22.01,19.11,0.43,0.64,0.61,0.05,98.37,1.58,NA,NA,NA
Victory Sycamore Small Company Opportunity Fund R6 (VSORX),VSORX,MF,Small Value,5.0,5.0,5.0,5.0,48.87,10.68,NA,NA,NA,NA,NA,NA,NA,NA,29.93,11.88,-8.24,27.02,4.82,17.91,0.86,0.86,22.94,19.3,17.12,0.55,0.76,0.72,NA,99.31,0.69,NA,NA,NA
Federated Hermes Clover Small Value Fund Class R6 (VSFSX),VSFSX,MF,Small Value,3.0,3.0,3.0,3.0,58.48,8.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.49,-18.09,20.05,9.46,21.15,0.82,1.16,27.72,22.59,19.12,0.44,0.59,0.55,2.44,95.86,1.7,NA,NA,NA
